DATE,TIME,APPX,SECONDARY DATE,APPX 2,TRANS_ID,BBREFID,TYPE,FROMT,FLEAGUE,TTEAM,TLEAGUE,,,,
20100609,,,20100816,,73850,achta001,Da,,,MIN,AL,,46,,
19890824,,,,,51724,ackej001,T ,ATL,NL,TOR,AL,,,,
19860706,,,,,51440,ackej001,T ,TOR,AL,ATL,NL,,,,
19920721,,,,,167,ackej001,R ,SEA,AL,,,,,,
19920202,,,,,166,ackej001,F ,,,SEA,AL,,,,
19911031,,,,,165,ackej001,Fg,TOR,AL,,,,,,
19890106,,,,,164,ackej001,F ,,,ATL,NL,,,,
19881104,,,,,163,ackej001,Fg,ATL,NL,,,,,,
19821206,,,,,162,ackej001,D ,ATL,NL,TOR,AL,,,,
19800603,,,,,161,ackej001,Da,,,ATL,NL,,1,21,
19591121,,,,,49621,acket101,T ,CIN,NL,KC1,AL,,,,
19511014,,,,,49315,acket101,T ,Buffalo,(International),CIN,NL,,,,
19501204,,,,,169,acket101,Dm,NY1,NL,Buffalo,(International),,,,
19480000,,,,,168,acket101,Fa,,,NY1,NL,,,,
20150730,,,,,76681,ackld001,T ,SEA,AL,NYA,AL,,,,
20090609,,,20090817,,62320,ackld001,Da,,,SEA,AL,,1,2,
19641124,,,,,171,acklf101,P ,CHA,AL,SLN,NL,,,,
19540000,,,,,170,acklf101,Fa,,,CHA,AL,,,,
19750317,,,,,173,acosc101,P ,CHA,AL,PHI,NL,,,,
19710000,,,,,172,acosc101,P ,Jalisco,(Mexican),CHA,AL,,,,
19710810,,,,,50293,acose101,T ,PIT,NL,SDN,NL,,,,
19700000,,,,,175,acose101,U ,HOU,NL,PIT,NL,,,,
19670000,,,,,174,acose101,Fa,,,HOU,NL,,,,
19220110,,,,,66746,acosj101,T ,WS1,AL,PHA,AL,,,,
19220204,,,,,176,acosj101,P ,PHA,AL,CHA,AL,,,,
20121130,,,,,66978,acosm001,Fg,NYN,NL,,,,,,
20100330,,,,,60090,acosm001,W ,ATL,NL,NYN,NL,,,,
20030729,,,,,179,acosm001,F ,,,ATL,NL,,,,
20030724,,,,,178,acosm001,R ,NYA,AL,,,,,,
19980106,,,,,177,acosm001,Fa,,,NYA,AL,,,,
19180525,,,,,180,acosm101,P ,WS1,AL,PHA,AL,,,,
19971204,,,,,182,acrem001,P ,OAK,AL,Yakult Swallows,(Japan Central),,,,
19910805,,,,,181,acrem001,Fa,,,OAK,AL,,,,
19670602,,,,,72312,adaij101,T ,CHA,AL,BOS,AL,,,,
19660613,,,,,49955,adaij101,T ,BAL,AL,CHA,AL,,,,
19700512,,,,,185,adaij101,R ,KCA,AL,,,,,,
19681015,,,,,184,adaij101,X ,BOS,AL,KCA,AL,,,51,
19580902,,,,,183,adaij101,Fa,,,BAL,AL,,,,
20061120,,,,,53326,Adam Bostick,T ,FLO,NL,NYN,NL,,,,
